"","modelname","model","AICc","dAICc","AICcwt","estimate","lcl","ucl","D","Dlcl","Ducl","CV","estimate_msk","lcl_msk","ucl_msk","D_msk","Dlcl_msk","Ducl_msk","CV_msk"
"1","m1","D~std_elev lambda0~1 sigma~1",517.607,0,0.6368,235.997776925387,148.663015815461,374.638913439374,0.266387232397267,0.167806366055017,0.422881200830068,24,75.2209853577422,49.2130706080577,114.973452545821,0.357310399761268,0.233769098461228,0.546140283801164,22
"2","m1.2","D~std_elev lambda0~lure_01 sigma~1",520.44,2.83300000000008,0.1545,235.412859426738,148.46325461746,373.285730036498,0.265726995018442,0.167580881589151,0.421353767875765,24,75.2163731171597,49.1856703462249,115.023394925307,0.357288490961237,0.233638943312868,0.546377517220724,22
"3","m1.1","D~std_elev lambda0~reconyx sigma~1",520.468,2.86099999999999,0.1523,235.997776925387,148.663015815459,374.638913439378,0.266387232397267,0.167806366055015,0.422881200830072,24,75.2209853577422,49.213070608058,114.97345254582,0.357310399761268,0.233769098461229,0.546140283801161,22
"4","m1.3","D~std_elev lambda0~habitat sigma~1",522.453,4.846,0.0565,235.152924088179,150.698811871571,366.936520736116,0.265433587782394,0.170104311756785,0.414186970308963,23,75.7008073954787,49.6343708451524,115.456530278293,0.359589622817209,0.235770334624512,0.548434971871049,22
"5","m0","D~1 lambda0~1 sigma~1",532.316,14.7090000000001,0,308.192219427729,201.034780673749,472.467718259819,0.347878159910296,0.226922047897947,0.533307429858022,22,73.2353102243154,47.7716295234758,112.271880133711,0.347878159910296,0.226922047897947,0.533307429858022,22
"6","m2","D~std_rugged lambda0~1 sigma~1",533.318,15.711,0,296.736090786467,192.366353499408,457.732373533324,0.334946824528701,0.217137386557937,0.516674613433858,22,74.7151315798745,48.9708634484551,113.993311407991,0.354907522230071,0.23261857993756,0.541484473722169,22
"7","m3","D~std_roadden lambda0~1 sigma~1",533.364,15.7570000000001,0,296.052050689711,194.288157791829,451.117647692624,0.334174700525681,0.219306661766106,0.509208108737385,22,74.7128611441377,49.0983420323701,113.6904300488,0.354896737336774,0.233224121377399,0.540045744104121,22
